"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type","query_used","source_group","country_used"
"li-4325794401","linkedin","https://www.linkedin.com/jobs/view/4325794401","","Gas Trading Analyst","Targa Resources","Houston, TX","2025-12-26","","","","","","",False,"","","","","","","https://www.linkedin.com/company/targa-resources","","","","","","","","","","","","","ETRM","linkedin",""
"li-4329095930","linkedin","https://www.linkedin.com/jobs/view/4329095930","","Business Analyst | LNG Trading | London","SGI","London Area, United Kingdom","2025-12-24","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/source-group-international","","","","","","","","","","","","","ETRM","linkedin",""
"li-4329262011","linkedin","https://www.linkedin.com/jobs/view/4329262011","","【Tech Lead】Japan's Largest Energy Market Place / Hybrid Work / Japanese N2 level","G Talent","Tokyo, Tokyo, Japan","2025-12-24","","","","","","",False,"","","","","","","https://jp.linkedin.com/company/bizmates-gtalent","","","","","","","","","","","","","ETRM","linkedin",""
"li-4325571276","linkedin","https://www.linkedin.com/jobs/view/4325571276","","Senior Settlements Analyst","Pattern Energy","Houston, TX","2025-12-24","","","","","","",False,"","","","","","","https://www.linkedin.com/company/pattern-energy","","","","","","","","","","","","","ETRM","linkedin",""
"li-4016662251","linkedin","https://www.linkedin.com/jobs/view/4016662251","","Senior Business Consultant - Allegro","ION","Houston, TX","2025-12-24","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/iongroup","","","","","","","","","","","","","ETRM","linkedin",""
"li-4016664093","linkedin","https://www.linkedin.com/jobs/view/4016664093","","Senior Business Consultant - Openlink","ION","London, England, UK","2025-12-24","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/iongroup","","","","","","","","","","","","","ETRM","linkedin",""
"li-4345742261","linkedin","https://www.linkedin.com/jobs/view/4345742261","","ETRM Technical Business Analyst","Airswift","Houston, TX","2025-12-21","","","","","","",False,"","","","","","","https://www.linkedin.com/company/airswift","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350158423","linkedin","https://www.linkedin.com/jobs/view/4350158423","","Market Risk Analyst","Chevron","London, England, UK","2025-12-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/chevron","","","","","","","","","","","","","ETRM","linkedin",""
"li-4345280105","linkedin","https://www.linkedin.com/jobs/view/4345280105","","Endur BA","RJC Group","Houston, TX","2025-12-19","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/rjc-group-ltd","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350186159","linkedin","https://www.linkedin.com/jobs/view/4350186159","","Business Analyst – Commodities Trading House | (LNG, Coal, Freight, Oil) | £800/Day Inside IR35 | 3 days office, Ldn","VirtueTech Recruitment Group","London Area, United Kingdom","2025-12-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/virtuetech-recruitment-group","","","","","","","","","","","","","ETRM","linkedin",""
"li-4345211482","linkedin","https://www.linkedin.com/jobs/view/4345211482","","Endur Business Analyst / Developer / Consultant","Roc Search","London Area, United Kingdom","2025-12-19","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/roc-search","","","","","","","","","","","","","ETRM","linkedin",""
"li-4308902921","linkedin","https://www.linkedin.com/jobs/view/4308902921","","Business Analyst Optimisation","Luminus","Brussels, Brussels Region, Belgium","2025-12-19","","","","","","",False,"","","","","","","https://be.linkedin.com/company/luminus","","","","","","","","","","","","","ETRM","linkedin",""
"li-4343057766","linkedin","https://www.linkedin.com/jobs/view/4343057766","","Principal Technologist","WRK digital","","2025-12-19","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/wrk-digital","","","","","","","","","","","","","ETRM","linkedin",""
"li-4327959646","linkedin","https://www.linkedin.com/jobs/view/4327959646","","Natural Gas Trader","CFE International LLC","Houston, TX","2025-12-19","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cfeinternational","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350234173","linkedin","https://www.linkedin.com/jobs/view/4350234173","","ETRM Sales Manager – London, NYC or Houston based - £160k / $220k + 100% uncapped commission","Bramwith Consulting","London Area, United Kingdom","2025-12-18","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/bramwith-consulting","","","","","","","","","","","","","ETRM","linkedin",""
"li-4344400955","linkedin","https://www.linkedin.com/jobs/view/4344400955","","Information Technology Program Manager","RJC Group","London Area, United Kingdom","2025-12-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/rjc-group-ltd","","","","","","","","","","","","","ETRM","linkedin",""
"li-4344431970","linkedin","https://www.linkedin.com/jobs/view/4344431970","","Quantitative Middle Office Analyst - Commodities","Richard James Recruitment Specialists Ltd","London Area, United Kingdom","2025-12-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/richard-james-recruitment-specialists-ltd","","","","","","","","","","","","","ETRM","linkedin",""
"li-4296071330","linkedin","https://www.linkedin.com/jobs/view/4296071330","","Lead Solutions Consultant - ETRM","Clearwater Analytics (CWAN)","London, England, UK","2025-12-17","","","","","","",False,"","","","","","","https://www.linkedin.com/company/clearwateranalytics","","","","","","","","","","","","","ETRM","linkedin",""
"li-4340027552","linkedin","https://www.linkedin.com/jobs/view/4340027552","","Back Office Specialist – Energy Markets","Nadara","","2025-12-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/nadaralivingenergy","","","","","","","","","","","","","ETRM","linkedin",""
"li-4339997472","linkedin","https://www.linkedin.com/jobs/view/4339997472","","Back Office Specialist – Energy Markets","Nadara","Lisboa, Lisbon, Portugal","2025-12-17","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/nadaralivingenergy","","","","","","","","","","","","","ETRM","linkedin",""
"li-4344067508","linkedin","https://www.linkedin.com/jobs/view/4344067508","","Fuel Operations Analyst","Cleco","Pineville, LA","2025-12-17","","","","","","",False,"","","","","","","https://www.linkedin.com/company/cleco","","","","","","","","","","","","","ETRM","linkedin",""
"li-4343842175","linkedin","https://www.linkedin.com/jobs/view/4343842175","","CTRM Project Manager","BBGC","Singapore, Singapore","2025-12-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/bbgcservices","","","","","","","","","","","","","ETRM","linkedin",""
"li-4328000934","linkedin","https://www.linkedin.com/jobs/view/4328000934","","ETRM Business Analyst","Dexian","Houston, TX","2025-12-16","","","","","","",False,"","","","","","","https://www.linkedin.com/company/dexiansolutions","","","","","","","","","","","","","ETRM","linkedin",""
"li-4343874263","linkedin","https://www.linkedin.com/jobs/view/4343874263","","Senior Automation Test Engineer - ETRM / Trading Platforms","DataCareers","City Of London, England, UK","2025-12-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/datacareers","","","","","","","","","","","","","ETRM","linkedin",""
"li-4341183711","linkedin","https://www.linkedin.com/jobs/view/4341183711","","Endur Product SME/ Business Analyst: Greenfield Implementation: World Energy Co","Eaglecliff Recruitment","Greater London, England, UK","2025-12-16","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/eaglecliff-recruitment","","","","","","","","","","","","","ETRM","linkedin",""
"li-4344180242","linkedin","https://www.linkedin.com/jobs/view/4344180242","","Front Office Application Support – ETRM","Talan","Houston, TX","2025-12-16","","","","","","",False,"","","","","","","https://fr.linkedin.com/company/talan","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350182861","linkedin","https://www.linkedin.com/jobs/view/4350182861","","Endur Trading Business Analyst","Anson McCade","London Area, United Kingdom","2025-12-15","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/anson-mccade","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350082846","linkedin","https://www.linkedin.com/jobs/view/4350082846","","Endur trading Business Analyst","Anson McCade","London Area, United Kingdom","2025-12-15","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/anson-mccade","","","","","","","","","","","","","ETRM","linkedin",""
"li-4350193067","linkedin","https://www.linkedin.com/jobs/view/4350193067","","Senior Business Analyst","Anson McCade","London Area, United Kingdom","2025-12-15","","","","","","",False,"","","","","","","https://uk.linkedin.com/company/anson-mccade","","","","","","","","","","","","","ETRM","linkedin",""
"li-4132372761","linkedin","https://www.linkedin.com/jobs/view/4132372761","","Consultant Commodity Trading (all genders) - BCG Platinion","BCG Platinion","Düsseldorf, North Rhine-Westphalia, Germany","2025-12-15","","","","","","",False,"","","","","","","https://de.linkedin.com/company/bcg-platinion","","","","","","","","","","","","","ETRM","linkedin",""
"li-4062719523","linkedin","https://www.linkedin.com/jobs/view/4062719523","","Consultant Commodity Trading (all genders) - BCG Platinion","BCG Platinion","Stuttgart, Baden-Württemberg, Germany","2025-12-14","","","","","","",False,"","","","","","","https://de.linkedin.com/company/bcg-platinion","","","","","","","","","","","","","ETRM","linkedin",""
